Date;Libellé;Montant;Catégorie
2024-01-01; SALAIRE ;2500; SALAIRE
2024-01-05;SNCF BILLET TRAIN;-45.00;Transport
2024-01-08;CARREFOUR MARKET;-62.30;Alimentation
2024-01-10;LOYER JANVIER;-750.00;Logement
2024-01-12;AMAZON ACHAT;-38.99;Shopping
2024-01-15;SPOTIFY;-9.99;Loisirs
2024-01-18;RESTAURANT LE BISTROT;-32.50;Alimentation
2024-01-20;NAVIGO MENSUEL;-86.40;Transport
2024-01-22;CINEMA UGC;-12.50;Loisirs
2024-01-25;LIDL COURSES;-55.80;Alimentation
2024-01-28;REMBOURSEMENT PRET;-200.00;Remboursement prêt
2024-01-30;H&M ACHAT;-49.99;Shopping
2024-02-01; SALAIRE ;2500; SALAIRE
2024-02-05;SNCF BILLET TRAIN;-32.00;Transport
2024-02-08;MONOPRIX;-78.40;Alimentation
2024-02-10;LOYER FEVRIER;-750.00;Logement
2024-02-12;FNAC LIVRE;-22.00;Shopping
2024-02-15;NETFLIX;-15.99;Loisirs
2024-02-18;SUSHI RESTAURANT;-41.00;Alimentation
2024-02-20;NAVIGO MENSUEL;-86.40;Transport
2024-02-22;BOWLING;-18.00;Loisirs
2024-02-25;ALDI COURSES;-48.60;Alimentation
2024-02-28;REMBOURSEMENT PRET;-200.00;Remboursement prêt
2024-03-01; SALAIRE ;2500; SALAIRE
2024-03-05;BUS RATP;-1.90;Transport
2024-03-08;INTERMARCHE;-91.20;Alimentation
2024-03-10;LOYER MARS;-750.00;Logement
2024-03-14;ZARA VETEMENTS;-89.99;Shopping
2024-03-15;DEEZER;-9.99;Loisirs
2024-03-18;BRASSERIE DU COIN;-28.50;Alimentation
2024-03-20;NAVIGO MENSUEL;-86.40;Transport
2024-03-24;MUSEE DU LOUVRE;-17.00;Loisirs
2024-03-26;LECLERC COURSES;-67.30;Alimentation
2024-03-28;REMBOURSEMENT PRET;-200.00;Remboursement prêt
2024-03-30;IKEA ACHAT;-120.00;Shopping